"Seq,cal","Seq,all",L,L/Hs,a,"a1,mea","a1,mean","a1,cal","a1/Hs,cal","a1,all","a1/Hs,all",a1/AD50,a1/AD90,a1/AD95,"hu,mea","hu,cal",qs,ys,ls,ys/Hs,ls/Hs
0.006415086,0.0063,3,24.29024256,0.048,0.0291,,0.028754743,0.232819898,0.0291,0.235615353,2.100324792,1.552413977,1.428220859,0.09,0.086390119,0,0.07,0.81,0.566772326,6.558365491
0.005476402,0.0049,3,21.47795824,0.048,0.0333,,0.031570793,0.226025391,0.0333,0.238405336,2.403464453,1.776473726,1.634355828,0.11,0.101197824,0,0.1,1.1,0.715931941,7.875251356
0.005373073,0.0059,4,28.21613166,0.064,0.0404,,0.042507709,0.299850775,0.0404,0.28498293,2.915914832,2.155241398,1.982822086,0.116,0.103143958,0,0.112,1.27,0.790051687,8.958621803
0.005322974,0.0055,2,14.00564737,0.032,0.021,,0.021354052,0.149538659,0.021,0.147059297,1.515698304,1.120298746,1.030674847,0.111,0.104114727,0,0.1,1.19,0.700282368,8.333360183
0.005178565,0.0041,5,34.27304392,0.0825,0.062,,0.056607177,0.38802005,0.062,0.424985745,4.474918802,3.30754868,3.042944785,0.11,0.107018071,0,0.171,1.85,1.172138102,12.68102625
0.00681153,0.0068,6,50.89990049,0.078,0.0372,,0.037130817,0.314992484,0.0372,0.315579383,2.684951281,1.984529208,1.825766871,0.095,0.081362038,0,0.09,1.04,0.763498507,8.822649418
0.004093074,0.0051,3,17.12562077,0.039,0.0237,,0.026720777,0.152536632,0.0237,0.135292404,1.7105738,1.264337157,1.163190184,0.13,0.135399448,0,0.101,1.17,0.576562566,6.678992101
0.004150055,0.0061,6,34.62152972,0.078,0.0414,,0.053099671,0.306398642,0.0414,0.238888555,2.988090942,2.208588957,2.03190184,0.132,0.133540406,0,0.164,1.84,0.946321812,10.61726911
0.004150055,0.006,5,28.85127476,0.065,0.035,,0.044249726,0.255332202,0.035,0.201958923,2.52616384,1.867164577,1.717791411,0.135,0.133540406,0,0.139,1.59,0.802065438,9.174705375
0.004150055,0.0058,4,23.08101981,0.052,0.0288,,0.035399781,0.204265761,0.0288,0.166183343,2.07867196,1.536409709,1.413496933,0.13,0.133540406,0,0.13,1.49,0.750133144,8.59767988
0.004150055,0.0058,2,11.54050991,0.026,0.0144,,0.01769989,0.102132881,0.0144,0.083091671,1.03933598,0.768204855,0.706748466,0.132,0.133540406,0,0.11,1.28,0.634728045,7.38592634
0.00208728,0.0037,6,42.0169421,0.051,0.0288,,0.03847632,0.269442886,0.0288,0.201681322,4.309441867,3.212493028,3.020292591,0.14,0.128070983,0,0.204,2.22,1.428576031,15.54626858
0.00208728,0.0037,5,35.01411842,0.0425,0.024,,0.0320636,0.224535738,0.024,0.168067768,3.591201556,2.677077524,2.516910492,0.13,0.128070983,0,0.14,1.71,0.980395316,11.9748285
